"","Date","value.    Stage (mm) at Kumeti at Te Rehunga","value.    Stage (mm) at Makakahi at Hamua","value.    Stage (mm) at Makuri at Tuscan Hills","value.   Stage (mm) at Makuri at Tuscan Hills","value.    Stage (mm) at Manawatu at Hopelands","value.    Stage (mm) at Manawatu at Upper Gorge","value.    Stage (mm) at Manawatu at Weber Road","value.    Stage (mm) at Mangahao at Ballance","value.   Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangapapa at Troup Rd","value.    Stage (mm) at Mangatainoka at Larsons Road","value.    Stage (mm) at Mangatainoka at Pahiatua Town Bridge","value.    Stage (mm) at Mangatoro at Mangahei Road","value. Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Mangatoro at Mangahei Road","value.  Stage (mm) at Raparapawai at Jackson Rd","value.    Stage (mm) at Raparapawai at Jackson Rd"
"    Stage (mm) at Kumeti at Te Rehunga.2008.2.November",2008-11-02,5613,3521,5499,NA,2133,3987,5903,1173,NA,405,2436,754,2494,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.3.November",2008-11-03,5373,281,4140,NA,1646,848,5645,1987,NA,5293,5089,3550,2113,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.4.November",2008-11-04,5190,6206,3954,NA,1149,6816,5013,519,NA,4742,3470,2314,1927,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.5.November",2008-11-05,5185,453,4103,NA,1389,359,4786,2996,NA,6186,1089,3653,1930,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.6.November",2008-11-06,5634,6740,4843,NA,2254,225,5400,970,NA,1218,5260,2941,1928,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.7.November",2008-11-07,6048,7001,5412,NA,3346,495,6490,837,NA,1448,6162,2931,2664,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.8.November",2008-11-08,5794,6221,4478,NA,2781,7062,6408,65,NA,7030,3936,2303,2493,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.9.November",2008-11-09,5691,5360,4017,NA,2123,6344,5664,6530,NA,6038,2725,1564,1860,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.10.November",2008-11-10,5559,4602,3753,NA,1647,5731,5160,5855,NA,5257,1913,965,1613,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.11.November",2008-11-11,5430,4045,3597,NA,1295,5256,4864,5393,NA,4634,1258,503,1477,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.12.November",2008-11-12,5274,3473,3453,NA,963,4832,4511,5004,NA,4033,697,50,1341,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.13.November",2008-11-13,5102,2993,3328,NA,680,4440,4265,4628,NA,3457,147,6752,1222,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.14.November",2008-11-14,4916,2561,3207,NA,414,4064,3995,4234,NA,2963,6807,6342,1061,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.15.November",2008-11-15,4687,2247,3141,NA,213,3757,3815,4082,NA,2706,6382,6028,981,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.16.November",2008-11-16,4476,1841,3113,NA,7087,3529,3595,3948,NA,2502,5989,5693,891,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.17.November",2008-11-17,4304,1723,3192,NA,6988,3369,3492,3884,NA,2940,6663,5458,946,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.18.November",2008-11-18,4093,1821,3196,NA,7079,3462,3846,4104,NA,2533,6448,5614,1022,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.19.November",2008-11-19,3915,1496,3097,NA,6840,3287,3452,4126,NA,1892,5683,5357,872,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.20.November",2008-11-20,3774,1024,2934,NA,6552,2965,3098,3637,NA,1469,5267,4941,692,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.21.November",2008-11-21,3639,725,2855,NA,6365,2733,2971,3374,NA,1285,4957,4627,590,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.22.November",2008-11-22,3486,268,2783,NA,6212,2527,2813,3175,NA,906,4495,4333,509,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.23.November",2008-11-23,3309,6973,2763,NA,6062,2329,2677,3031,NA,345,4240,4018,444,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.24.November",2008-11-24,3121,6773,2734,NA,5907,2164,2536,2935,NA,5,4111,3763,368,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.25.November",2008-11-25,3008,4842,3175,NA,5864,3762,2582,521,NA,1923,6405,481,562,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.26.November",2008-11-26,2777,3053,2845,NA,5773,4707,2564,6370,NA,1095,3734,329,410,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.27.November",2008-11-27,2673,2595,2867,NA,5671,3823,2613,6187,NA,264,2843,6825,488,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.28.November",2008-11-28,2533,2039,2904,NA,6158,3400,3687,5272,NA,315,2168,6010,1125,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.29.November",2008-11-29,2372,1682,2707,NA,6131,3049,3549,4706,NA,6786,1165,5604,711,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2008.30.November",2008-11-30,2246,744,2638,NA,5632,2562,2754,4198,NA,6111,255,4859,408,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.1.November",2009-11-01,6218,5913,4581,NA,3724,175,1473,6656,NA,6012,2358,1471,4091,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.2.November",2009-11-02,5851,5187,4307,NA,3173,6677,979,6394,NA,5236,1958,935,3628,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.3.November",2009-11-03,5634,4546,4359,NA,2881,6500,578,641,NA,5766,2076,568,3276,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.4.November",2009-11-04,5454,3966,3949,NA,2477,5991,150,6934,NA,4679,1990,155,2890,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.5.November",2009-11-05,5257,3625,3735,NA,2145,177,6849,4851,NA,4160,4408,724,2642,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.6.November",2009-11-06,5163,2992,3474,NA,1857,5824,6489,1051,NA,3475,1542,22,2373,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.7.November",2009-11-07,4991,2616,3331,NA,1549,5039,6101,7003,NA,2977,797,6437,2132,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.8.November",2009-11-08,4777,2325,3253,NA,1323,4565,5852,6320,NA,2533,365,6023,2002,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.9.November",2009-11-09,4555,2198,3427,NA,1216,4291,5848,5929,NA,2475,100,5778,2152,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.10.November",2009-11-10,4183,2030,3279,NA,1320,4217,6151,5503,NA,2220,6861,5546,2173,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.11.November",2009-11-11,3980,1725,3451,NA,1018,3971,5625,5099,NA,2395,540,5243,1986,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.12.November",2009-11-12,3588,1601,3359,NA,1085,4053,5885,5341,NA,2124,7059,5305,2036,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.13.November",2009-11-13,3373,1236,3141,NA,660,3624,5314,4506,NA,1699,6563,4877,1673,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.14.November",2009-11-14,3030,1075,3140,NA,666,3493,5321,4129,NA,2372,6279,4607,1805,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.15.November",2009-11-15,2800,1181,3126,NA,473,3267,5068,3868,NA,1419,3600,4524,1542,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.16.November",2009-11-16,2502,3376,3740,NA,703,4667,5014,174,NA,3389,4592,419,1815,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.17.November",2009-11-17,2246,1720,3078,NA,339,3852,4713,4919,NA,1582,1016,6089,1373,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.18.November",2009-11-18,6081,4444,2748,NA,5455,4300,2024,647,NA,6533,4172,549,104,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.19.November",2009-11-19,3110,1204,6445,NA,4766,3413,1996,3179,NA,2479,5825,4828,5401,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.20.November",2009-11-20,2554,6521,4816,NA,2683,923,101,1321,NA,1231,3836,2526,3565,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.21.November",2009-11-21,2693,5585,4684,NA,1940,828,6298,4572,NA,601,5121,2022,2865,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.22.November",2009-11-22,6649,5312,5552,NA,2835,2227,6377,6855,NA,3203,6639,2711,3327,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.23.November",2009-11-23,4388,4455,4544,NA,2327,429,6545,2546,NA,889,3218,1593,2841,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.24.November",2009-11-24,4608,3821,4257,NA,1919,6739,5949,1680,NA,601,2325,867,2547,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.25.November",2009-11-25,4582,3216,3910,NA,1567,6294,5643,1106,NA,7027,1546,333,2296,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.26.November",2009-11-26,4571,2783,3696,NA,1082,5679,5132,524,NA,6543,2183,6961,1938,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.27.November",2009-11-27,4855,2391,3454,NA,746,5309,4811,169,NA,6077,1150,6840,1772,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.28.November",2009-11-28,4838,4449,5805,NA,812,1310,4613,1113,NA,220,5557,6638,1772,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.29.November",2009-11-29,4721,2798,6290,NA,1355,4127,5674,62,NA,405,1899,173,3199,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2009.30.November",2009-11-30,38,382,5125,NA,1102,845,5054,3106,NA,1848,6354,3497,2311,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.1.November",2010-11-01,3570,1885,3895,NA,1047,4058,5915,5213,NA,1635,6693,5069,2766,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.2.November",2010-11-02,3438,1620,3771,NA,851,3615,5582,4341,NA,1130,6551,4786,2579,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.3.November",2010-11-03,3333,1351,3711,NA,687,3314,5382,3402,NA,696,6371,4499,2458,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.4.November",2010-11-04,3177,989,3647,NA,506,3067,5177,2970,NA,211,6210,4193,2331,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.5.November",2010-11-05,3047,827,3628,NA,325,2883,5011,2955,NA,770,6827,3986,2241,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.6.November",2010-11-06,2819,787,3731,NA,449,3095,5164,4150,NA,1670,1480,4181,2394,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.7.November",2010-11-07,2598,744,3579,NA,290,2925,5112,3316,NA,875,209,3904,2199,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.8.November",2010-11-08,2475,462,3473,NA,7068,2686,4797,2820,NA,555,6388,3689,2033,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.9.November",2010-11-09,2330,165,3415,NA,6865,2514,4542,2671,NA,183,6018,3436,1907,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.10.November",2010-11-10,2191,6985,3396,NA,6675,2347,4357,2503,NA,6940,5600,3229,1828,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.11.November",2010-11-11,2064,6737,3380,NA,6544,2231,4208,2259,NA,5977,5035,3025,1762,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.12.November",2010-11-12,1949,6480,3339,NA,6350,2109,4073,2106,NA,5480,4590,2841,1653,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.13.November",2010-11-13,1771,6574,3419,NA,6201,2031,3871,5179,NA,5690,2075,2759,1540,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.14.November",2010-11-14,1635,160,4020,NA,6135,5534,3824,4242,NA,6313,3429,5482,1686,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.15.November",2010-11-15,1505,7045,4655,NA,6870,5579,4627,3147,NA,3008,1744,6039,2584,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.16.November",2010-11-16,1372,6491,3568,NA,6565,3507,4428,6307,NA,239,6502,4475,1838,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.17.November",2010-11-17,1245,6012,3394,NA,6005,2662,3817,4867,NA,5690,5696,3516,1517,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.18.November",2010-11-18,1068,5613,3316,NA,5749,2252,3579,4105,NA,4639,5190,2989,1383,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.19.November",2010-11-19,906,5224,3241,NA,5671,1979,3411,3605,NA,4025,4760,2640,1264,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.20.November",2010-11-20,858,5012,3247,NA,5694,1819,3368,3171,NA,3843,4576,2406,1258,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.21.November",2010-11-21,814,5185,3845,NA,112,2622,3840,4594,NA,6933,6026,2412,1559,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.22.November",2010-11-22,597,5530,3528,NA,639,3551,4740,6069,NA,6724,6660,2644,1684,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.23.November",2010-11-23,461,5413,3302,NA,61,2743,4400,4359,NA,3422,5574,2761,1435,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.24.November",2010-11-24,315,5185,3199,NA,6330,2237,3919,3612,NA,1978,5230,2431,1242,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.25.November",2010-11-25,264,4991,3144,NA,5845,1934,3605,3286,NA,1155,4596,2232,1129,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.26.November",2010-11-26,211,4601,3109,NA,5511,1694,3377,2962,NA,483,4252,2057,1027,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.27.November",2010-11-27,159,4240,3073,NA,5323,1554,3219,2834,NA,120,4057,1916,985,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.28.November",2010-11-28,94,3989,3034,NA,5147,1413,3097,2691,NA,6608,3924,1818,885,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.29.November",2010-11-29,94,3754,3023,NA,4996,1293,2978,2545,NA,6025,3765,1710,863,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2010.30.November",2010-11-30,7055,3448,2960,NA,4773,1116,2860,2287,NA,5301,3526,1594,750,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.1.November",2011-11-01,5430,4223,3646,NA,3058,6461,544,109,NA,5495,2335,959,2754,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.2.November",2011-11-02,5055,66,4458,NA,2752,7015,195,2032,NA,194,1070,2794,2702,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.3.November",2011-11-03,4668,684,4618,NA,2295,1035,6751,3644,NA,5706,7012,4691,2121,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.4.November",2011-11-04,4601,6098,3839,NA,1879,7086,6180,2360,NA,4940,6074,2854,1737,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.5.November",2011-11-05,4564,6222,3837,NA,1894,6957,5833,2055,NA,5722,5071,2797,1532,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.6.November",2011-11-06,4432,4933,3514,NA,1654,6140,5627,1491,NA,4530,5219,1787,1373,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.7.November",2011-11-07,4252,4302,3358,NA,1513,6562,5419,2439,NA,3896,3923,1808,1287,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.8.November",2011-11-08,4148,3607,3199,NA,1213,5463,5062,672,NA,3039,3045,823,1008,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.9.November",2011-11-09,4176,3361,4585,NA,1087,6630,5033,3918,NA,3382,5410,897,1607,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.10.November",2011-11-10,1641,1132,2599,NA,5018,3638,1718,1101,NA,5571,2326,5849,6980,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.11.November",2011-11-11,6508,6791,6366,NA,4158,1696,1343,3139,NA,904,5518,3629,4971,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.12.November",2011-11-12,6048,5541,5070,NA,3056,401,232,1761,NA,6881,3956,2318,3680,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.13.November",2011-11-13,5600,4765,4395,NA,2456,6692,6669,1160,NA,6323,3075,1645,2968,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.14.November",2011-11-14,5261,4020,3912,NA,1999,6022,6096,645,NA,5730,2412,910,2425,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.15.November",2011-11-15,4940,3407,3593,NA,1651,5425,5727,278,NA,5174,1811,353,2067,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.16.November",2011-11-16,6334,5037,4903,NA,3052,609,6956,4239,NA,3770,42,2443,3427,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.17.November",2011-11-17,5137,4190,3932,NA,3104,297,451,1937,NA,234,3932,2091,2824,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.18.November",2011-11-18,4801,3358,3683,NA,1963,6061,6009,767,NA,6087,2813,900,2192,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.19.November",2011-11-19,4331,3125,4456,NA,2007,5737,6513,324,NA,5340,2182,427,3686,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.20.November",2011-11-20,4148,2626,3694,NA,1638,5223,5884,44,NA,4338,1664,6963,2438,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.21.November",2011-11-21,4457,3254,5348,NA,1578,807,5304,5255,NA,5947,3752,6032,2128,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.22.November",2011-11-22,4038,1514,5532,NA,1878,1528,5833,2920,NA,4940,97,5473,2540,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.23.November",2011-11-23,4260,6907,4254,NA,1185,6733,5028,1689,NA,3908,1064,3044,1773,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.24.November",2011-11-24,3225,3242,1520,NA,6463,4912,1998,2306,NA,824,4285,1098,418,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.25.November",2011-11-25,572,773,6086,NA,5563,2569,2140,3584,NA,1455,6305,5026,5342,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.26.November",2011-11-26,6143,6467,6320,NA,3622,1043,464,2118,NA,25,6372,3603,3780,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.27.November",2011-11-27,5525,5294,4990,NA,2705,116,6652,1110,NA,6148,3925,2454,2895,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.28.November",2011-11-28,5155,4548,4322,NA,2156,6444,6014,304,NA,5515,6360,1610,2394,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.29.November",2011-11-29,4844,6633,6515,NA,2344,1004,6103,4291,NA,971,594,4096,2684,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2011.30.November",2011-11-30,4555,5203,4647,NA,2045,7080,6053,1427,NA,5889,4513,2551,2147,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.1.November",2012-11-01,3309,2160,3330,NA,6679,3697,4005,4659,NA,211,636,5867,1459,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.2.November",2012-11-02,3190,1820,3240,NA,6497,3418,3810,4363,NA,6968,237,5514,1360,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.3.November",2012-11-03,3092,1706,3388,NA,6385,3277,3699,4281,NA,1326,2485,5237,1391,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.4.November",2012-11-04,2940,2900,3591,NA,6836,3978,4318,5767,NA,3412,2537,6534,2087,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.5.November",2012-11-05,2866,2494,3365,NA,6908,3827,4531,4935,NA,1488,1640,6146,1974,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.6.November",2012-11-06,2771,2749,3496,NA,7034,3610,4320,4299,NA,1612,1306,5836,1849,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.7.November",2012-11-07,2663,1955,3215,NA,6817,3398,4171,3903,NA,671,619,5491,1502,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.8.November",2012-11-08,2566,1446,3138,NA,6406,3064,3783,3673,NA,264,251,4988,1407,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.9.November",2012-11-09,2395,1056,3036,NA,6136,2787,3593,3485,NA,6940,7007,4657,1255,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.10.November",2012-11-10,2234,727,2947,NA,5917,2602,3379,3184,NA,6648,6660,4386,1109,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.11.November",2012-11-11,2203,465,2992,NA,5772,2410,3237,2950,NA,6608,877,4174,1032,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.12.November",2012-11-12,2090,1062,3452,NA,5935,2791,3430,5285,NA,622,3025,5147,1272,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.13.November",2012-11-13,2049,883,3082,NA,6300,3244,3744,4604,NA,94,697,5249,1105,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.14.November",2012-11-14,1877,380,3010,NA,6421,2776,4101,3558,NA,6860,7082,4421,1107,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.15.November",2012-11-15,1741,82,2917,NA,6090,2535,3670,3231,NA,6275,23,4090,989,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.16.November",2012-11-16,1652,6901,2862,NA,5785,2324,3340,3474,NA,6157,6950,3948,885,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.17.November",2012-11-17,1582,6883,2864,NA,5723,2233,3253,3274,NA,6531,1672,3838,863,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.18.November",2012-11-18,1850,1398,5470,NA,6819,3795,4054,6144,NA,2450,3658,5469,2006,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.19.November",2012-11-19,1961,1818,4348,NA,1608,5135,5795,5178,NA,5889,2232,6387,2499,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.20.November",2012-11-20,1754,569,3368,NA,575,3983,4699,3974,NA,2110,872,5072,1431,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.21.November",2012-11-21,1635,6976,3101,NA,6865,3122,3975,3460,NA,1359,298,4294,1073,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.22.November",2012-11-22,1488,6635,2953,NA,6341,2628,3582,3166,NA,671,6969,3942,889,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.23.November",2012-11-23,1437,6257,2893,NA,6019,2305,3372,2918,NA,30,6568,3670,810,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.24.November",2012-11-24,1406,5925,2833,NA,5770,2114,3164,2775,NA,6917,6297,3467,689,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.25.November",2012-11-25,1359,5730,2763,NA,5542,1903,3009,2632,NA,6355,6054,3311,592,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.26.November",2012-11-26,1406,5433,2734,NA,5319,1777,2828,2511,NA,6195,6012,3149,498,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.27.November",2012-11-27,1285,5405,2807,NA,5222,1777,2765,3650,NA,6608,1442,3152,572,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.28.November",2012-11-28,1155,5283,2661,NA,4899,1964,2584,3825,NA,5633,6732,3537,340,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.29.November",2012-11-29,1155,4687,2626,NA,4594,1557,2396,3028,NA,5118,5950,3087,252,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2012.30.November",2012-11-30,1155,5316,3119,NA,5764,1824,3996,2893,NA,6648,6508,2989,2682,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.1.November",2013-11-01,4495,1103,5139,NA,1395,442,6092,3230,NA,3127,675,4122,2856,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.2.November",2013-11-02,4316,6764,4197,NA,1215,6236,5829,280,NA,2246,4914,2446,2540,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.3.November",2013-11-03,4167,5672,3793,NA,815,5344,5268,6116,NA,1791,3528,1433,2238,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.4.November",2013-11-04,4026,4835,3650,NA,575,4796,5019,5569,NA,1545,2629,792,2097,NA,NA,NA,NA
"    Stage (mm) at Kumeti at Te Rehunga.2013.5.November",2013-11-05,3896,4139,3523,NA,425,4422,4864,5159,NA,1260,2012,208,1988,NA,NA,NA,NA
